distance_to_pipe,current_y,velocity,pipe_y,y_error,action
150,225.5,-6.0,123,10506.25,0
140,220.0,-5.5,123,9409.0,0
130,215.0,-5.0,123,8464.0,0
120,210.5,-4.5,123,7656.25,1
110,203.0,-7.5,123,6400.0,0
100,196.0,-7.0,123,5329.0,0
90,189.5,-6.5,123,4422.25,0
80,183.5,-6.0,123,3660.25,0
70,178.0,-5.5,123,3025.0,1
60,170.5,-7.5,123,2256.25,0
50,163.5,-7.0,123,1640.25,0
40,157.0,-6.5,123,1156.0,0
30,151.0,-6.0,123,784.0,0
20,145.5,-5.5,123,506.25,0
10,140.5,-5.0,123,306.25,0
0,136.0,-4.5,123,169.0,0
-10,132.0,-4.0,123,81.0,0
-20,128.5,-3.5,123,30.25,0
-30,125.5,-3.0,123,6.25,0
-40,123.0,-2.5,123,0.0,0
160,121.0,-2.0,132,121.0,0
150,119.5,-1.5,132,156.25,0
140,118.5,-1.0,132,182.25,0
130,118.0,-0.5,132,196.0,0
120,118.0,0.0,132,196.0,0
110,118.5,0.5,132,182.25,0
100,119.5,1.0,132,156.25,0
90,121.0,1.5,132,121.0,0
80,123.0,2.0,132,81.0,0
70,125.5,2.5,132,42.25,0
60,128.5,3.0,132,12.25,0
50,132.0,3.5,132,0.0,0
40,136.0,4.0,132,16.0,0
30,140.5,4.5,132,72.25,0
20,145.5,5.0,132,182.25,0
10,151.0,5.5,132,361.0,0
0,157.0,6.0,132,625.0,0
-10,163.5,6.5,132,992.25,0
-20,170.5,7.0,132,1482.25,1
-30,163.0,-7.5,132,961.0,0
-40,156.0,-7.0,132,576.0,0
160,149.5,-6.5,109,1640.25,0
150,143.5,-6.0,109,1190.25,0
140,138.0,-5.5,109,841.0,0
130,133.0,-5.0,109,576.0,0
120,128.5,-4.5,109,380.25,0
110,124.5,-4.0,109,240.25,0
100,121.0,-3.5,109,144.0,1
90,113.5,-7.5,109,20.25,0
80,106.5,-7.0,109,6.25,0
70,100.0,-6.5,109,81.0,0
60,94.0,-6.0,109,225.0,0
50,88.5,-5.5,109,420.25,0
40,83.5,-5.0,109,650.25,0
30,79.0,-4.5,109,900.0,1
20,71.5,-7.5,109,1406.25,0
350,200,0,109,8281,0
340,200.5,0.5,109,8372.25,0
330,201.5,1.0,109,8556.25,0
320,203.0,1.5,109,8836.0,0
310,205.0,2.0,109,9216.0,0
300,207.5,2.5,109,9702.25,0
290,210.5,3.0,109,10302.25,0
280,214.0,3.5,109,11025.0,0
270,218.0,4.0,109,11881.0,0
260,222.5,4.5,109,12882.25,0
250,227.5,5.0,109,14042.25,0
240,233.0,5.5,109,15376.0,0
230,239.0,6.0,109,16900.0,0
220,245.5,6.5,109,18632.25,0
210,252.5,7.0,109,20592.25,0
200,260.0,7.5,109,22801.0,0
190,268.0,8.0,109,25281.0,1
180,260.5,-7.5,109,22952.25,0
170,253.5,-7.0,109,20880.25,0
160,247.0,-6.5,109,19044.0,0
150,241.0,-6.0,109,17424.0,0
140,235.5,-5.5,109,16002.25,0
130,230.5,-5.0,109,14762.25,0
120,226.0,-4.5,109,13689.0,0
110,222.0,-4.0,109,12769.0,0
