distance_to_pipe,current_y,velocity,pipe_y,y_error,action
170,141.0,0.5,201.0,3600.0,0
160,142.0,1.0,201.0,3481.0,0
150,143.5,1.5,201.0,3306.25,0
140,145.5,2.0,201.0,3080.25,0
130,148.0,2.5,201.0,2809.0,0
120,151.0,3.0,201.0,2500.0,0
110,154.5,3.5,201.0,2162.25,0
100,158.5,4.0,201.0,1806.25,1
90,151.0,-7.5,201.0,2500.0,0
80,144.0,-7.0,201.0,3249.0,0
70,137.5,-6.5,201.0,4032.25,0
60,131.5,-6.0,201.0,4830.25,0
50,126.0,-5.5,201.0,5625.0,0
40,121.0,-5.0,201.0,6400.0,0
30,116.5,-4.5,201.0,7140.25,1
20,109.0,-7.5,201.0,8464.0,0
350,200,0,176.0,576.0,0
340,200.5,0.5,176.0,600.25,1
330,193.0,-7.5,176.0,289.0,0
320,186.0,-7.0,176.0,100.0,1
310,178.5,-7.5,176.0,6.25,0
300,171.5,-7.0,176.0,20.25,0
290,165.0,-6.5,176.0,121.0,0
280,159.0,-6.0,176.0,289.0,0
270,153.5,-5.5,176.0,506.25,0
260,148.5,-5.0,176.0,756.25,0
250,144.0,-4.5,176.0,1024.0,0
240,140.0,-4.0,176.0,1296.0,0
230,136.5,-3.5,176.0,1560.25,0
220,133.5,-3.0,176.0,1806.25,1
210,126.0,-7.5,176.0,2500.0,0
200,119.0,-7.0,176.0,3249.0,0
190,112.5,-6.5,176.0,4032.25,0
180,106.5,-6.0,176.0,4830.25,1
170,99.0,-7.5,176.0,5929.0,0
160,92.0,-7.0,176.0,7056.0,0
150,85.5,-6.5,176.0,8190.25,0
140,79.5,-6.0,176.0,9312.25,0
130,74.0,-5.5,176.0,10200.0,0
120,69.0,-5.0,176.0,10700.0,0
110,64.5,-4.5,176.0,11150.0,1
100,57.0,-7.5,176.0,11900.0,0
90,50.0,-7.0,176.0,12600.0,0
80,43.5,-6.5,176.0,13250.0,0
70,37.5,-6.0,176.0,13850.0,0
60,32.0,-5.5,176.0,14400.0,0
50,27.0,-5.0,176.0,14900.0,0
40,22.5,-4.5,176.0,15350.0,0
30,18.5,-4.0,176.0,15750.0,0
20,15.0,-3.5,176.0,16100.0,0
350,200,0,178.0,484.0,0
340,200.5,0.5,178.0,506.25,0
330,201.5,1.0,178.0,552.25,0
320,203.0,1.5,178.0,625.0,0
310,205.0,2.0,178.0,729.0,0
300,207.5,2.5,178.0,870.25,0
290,210.5,3.0,178.0,1056.25,0
280,214.0,3.5,178.0,1296.0,0
270,218.0,4.0,178.0,1600.0,0
260,222.5,4.5,178.0,1980.25,0
250,227.5,5.0,178.0,2450.25,0
240,233.0,5.5,178.0,3025.0,0
230,239.0,6.0,178.0,3721.0,0
220,245.5,6.5,178.0,4556.25,0
210,252.5,7.0,178.0,5550.25,0
200,260.0,7.5,178.0,6724.0,0
190,268.0,8.0,178.0,8100.0,0
180,276.5,8.5,178.0,9702.25,0
170,285.5,9.0,178.0,10750.0,0
160,295.0,9.5,178.0,11700.0,0
150,305.0,10.0,178.0,12700.0,0
140,315.5,10.5,178.0,13750.0,0
130,326.5,11.0,178.0,14850.0,0
120,338.0,11.5,178.0,16000.0,0
110,350.0,12.0,178.0,17200.0,0
100,362.5,12.5,178.0,18450.0,0
90,375.5,13.0,178.0,19750.0,1
80,368.0,-7.5,178.0,19000.0,0
70,361.0,-7.0,178.0,18300.0,0
60,354.5,-6.5,178.0,17650.0,0
50,348.5,-6.0,178.0,17050.0,0
40,343.0,-5.5,178.0,16500.0,0
30,338.0,-5.0,178.0,16000.0,0
20,333.5,-4.5,178.0,15550.0,1
350,200,0,223.0,529.0,0
340,200.5,0.5,223.0,506.25,0
330,201.5,1.0,223.0,462.25,0
320,203.0,1.5,223.0,400.0,1
310,195.5,-7.5,223.0,756.25,0
300,188.5,-7.0,223.0,1190.25,0
290,182.0,-6.5,223.0,1681.0,0
280,176.0,-6.0,223.0,2209.0,0
270,170.5,-5.5,223.0,2756.25,0
260,165.5,-5.0,223.0,3306.25,0
250,161.0,-4.5,223.0,3844.0,0
240,157.0,-4.0,223.0,4356.0,0
230,153.5,-3.5,223.0,4830.25,1
220,146.0,-7.5,223.0,5929.0,0
210,139.0,-7.0,223.0,7056.0,1
200,131.5,-7.5,223.0,8372.25,0
190,124.5,-7.0,223.0,9702.25,0
180,118.0,-6.5,223.0,10500.0,0
170,112.0,-6.0,223.0,11100.0,0
160,106.5,-5.5,223.0,11650.0,1
150,99.0,-7.5,223.0,12400.0,0
140,92.0,-7.0,223.0,13100.0,0
130,85.5,-6.5,223.0,13750.0,0
120,79.5,-6.0,223.0,14350.0,0
110,74.0,-5.5,223.0,14900.0,0
100,69.0,-5.0,223.0,15400.0,1
90,61.5,-7.5,223.0,16150.0,1
80,54.0,-7.5,223.0,16900.0,0
70,47.0,-7.0,223.0,17600.0,0
60,40.5,-6.5,223.0,18250.0,0
50,34.5,-6.0,223.0,18850.0,0
40,29.0,-5.5,223.0,19400.0,0
30,24.0,-5.0,223.0,19900.0,0
20,19.5,-4.5,223.0,20350.0,0
350,200,0,202.0,4.0,0
340,200.5,0.5,202.0,2.25,0
330,201.5,1.0,202.0,0.25,0
320,203.0,1.5,202.0,1.0,0
310,205.0,2.0,202.0,9.0,0
300,207.5,2.5,202.0,30.25,0
290,210.5,3.0,202.0,72.25,0
280,214.0,3.5,202.0,144.0,0
270,218.0,4.0,202.0,256.0,1
260,210.5,-7.5,202.0,72.25,0
250,203.5,-7.0,202.0,2.25,0
240,197.0,-6.5,202.0,25.0,1
230,189.5,-7.5,202.0,156.25,0
220,182.5,-7.0,202.0,380.25,0
210,176.0,-6.5,202.0,676.0,0
200,170.0,-6.0,202.0,1024.0,0
190,164.5,-5.5,202.0,1406.25,0
180,159.5,-5.0,202.0,1806.25,0
170,155.0,-4.5,202.0,2209.0,0
160,151.0,-4.0,202.0,2601.0,0
150,147.5,-3.5,202.0,2970.25,0
140,144.5,-3.0,202.0,3306.25,1
130,137.0,-7.5,202.0,4225.0,0
120,130.0,-7.0,202.0,5184.0,0
110,123.5,-6.5,202.0,6162.25,0
100,117.5,-6.0,202.0,7140.25,0
90,112.0,-5.5,202.0,8100.0,0
80,107.0,-5.0,202.0,9025.0,0
70,102.5,-4.5,202.0,9900.25,0
60,98.5,-4.0,202.0,10350.0,0
50,95.0,-3.5,202.0,10700.0,0
40,92.0,-3.0,202.0,11000.0,0
30,89.5,-2.5,202.0,11250.0,0
20,87.5,-2.0,202.0,11450.0,0
350,200,0,197.0,9.0,0
340,200.5,0.5,197.0,12.25,0
330,201.5,1.0,197.0,20.25,0
320,203.0,1.5,197.0,36.0,0
310,205.0,2.0,197.0,64.0,0
300,207.5,2.5,197.0,110.25,0
290,210.5,3.0,197.0,182.25,0
280,214.0,3.5,197.0,289.0,0
270,218.0,4.0,197.0,441.0,0
260,222.5,4.5,197.0,650.25,0
250,227.5,5.0,197.0,930.25,0
240,233.0,5.5,197.0,1296.0,0
230,239.0,6.0,197.0,1764.0,0
220,245.5,6.5,197.0,2352.25,0
210,252.5,7.0,197.0,3080.25,0
200,260.0,7.5,197.0,3969.0,0
190,268.0,8.0,197.0,5041.0,0
180,276.5,8.5,197.0,6320.25,0
170,285.5,9.0,197.0,7832.25,0
160,295.0,9.5,197.0,9604.0,0
150,305.0,10.0,197.0,10800.0,0
140,315.5,10.5,197.0,11850.0,0
130,326.5,11.0,197.0,12950.0,0
120,338.0,11.5,197.0,14100.0,1
110,330.5,-7.5,197.0,13350.0,0
100,323.5,-7.0,197.0,12650.0,0
90,317.0,-6.5,197.0,12000.0,0
80,311.0,-6.0,197.0,11400.0,0
70,305.5,-5.5,197.0,10850.0,0
60,300.5,-5.0,197.0,10350.0,0
50,296.0,-4.5,197.0,9801.0,0
40,292.0,-4.0,197.0,9025.0,0
30,288.5,-3.5,197.0,8372.25,0
20,285.5,-3.0,197.0,7832.25,0
350,200,0,198.0,4.0,0
340,200.5,0.5,198.0,6.25,0
330,201.5,1.0,198.0,12.25,0
320,203.0,1.5,198.0,25.0,0
310,205.0,2.0,198.0,49.0,0
300,207.5,2.5,198.0,90.25,0
290,210.5,3.0,198.0,156.25,0
280,214.0,3.5,198.0,256.0,0
270,218.0,4.0,198.0,400.0,0
260,222.5,4.5,198.0,600.25,0
250,227.5,5.0,198.0,870.25,1
240,220.0,-7.5,198.0,484.0,0
230,213.0,-7.0,198.0,225.0,0
220,206.5,-6.5,198.0,72.25,0
210,200.5,-6.0,198.0,6.25,0
200,195.0,-5.5,198.0,9.0,0
190,190.0,-5.0,198.0,64.0,0
180,185.5,-4.5,198.0,156.25,0
170,181.5,-4.0,198.0,272.25,0
